-8.0000	1.9995
-7.9950	1.9985
-7.9900	1.9978
-7.9850	1.9973
-7.9800	1.9965
-7.9750	1.9963
-7.9700	1.9965
-7.9650	1.9960
-7.9600	1.9953
-7.9550	1.9940
-7.9500	1.9920
-7.9450	1.9900
-7.9400	1.9890
-7.9350	1.9880
-7.9300	1.9875
-7.9250	1.9870
-7.9200	1.9855
-7.9150	1.9833
-7.9100	1.9813
-7.9050	1.9795
-7.9000	1.9783
-7.8950	1.9780
-7.8900	1.9783
-7.8850	1.9780
-7.8800	1.9775
-7.8750	1.9773
-7.8700	1.9755
-7.8650	1.9743
-7.8600	1.9738
-7.8550	1.9718
-7.8500	1.9710
-7.8450	1.9700
-7.8400	1.9685
-7.8350	1.9680
-7.8300	1.9678
-7.8250	1.9670
-7.8200	1.9655
-7.8150	1.9640
-7.8100	1.9628
-7.8050	1.9615
-7.8000	1.9605
-7.7950	1.9588
-7.7900	1.9570
-7.7850	1.9560
-7.7800	1.9560
-7.7750	1.9553
-7.7700	1.9540
-7.7650	1.9523
-7.7600	1.9520
-7.7550	1.9513
-7.7500	1.9500
-7.7450	1.9485
-7.7400	1.9478
-7.7350	1.9468
-7.7300	1.9455
-7.7250	1.9450
-7.7200	1.9440
-7.7150	1.9435
-7.7100	1.9430
-7.7050	1.9415
-7.7000	1.9395
-7.6950	1.9375
-7.6900	1.9360
-7.6850	1.9360
-7.6800	1.9358
-7.6750	1.9353
-7.6700	1.9350
-7.6650	1.9343
-7.6600	1.9333
-7.6550	1.9320
-7.6500	1.9303
-7.6450	1.9280
-7.6400	1.9255
-7.6350	1.9230
-7.6300	1.9220
-7.6250	1.9213
-7.6200	1.9208
-7.6150	1.9200
-7.6100	1.9195
-7.6050	1.9193
-7.6000	1.9188
-7.5950	1.9180
-7.5900	1.9163
-7.5850	1.9145
-7.5800	1.9128
-7.5750	1.9115
-7.5700	1.9093
-7.5650	1.9080
-7.5600	1.9073
-7.5550	1.9068
-7.5500	1.9060
-7.5450	1.9058
-7.5400	1.9058
-7.5350	1.9040
-7.5300	1.9028
-7.5250	1.9023
-7.5200	1.9025
-7.5150	1.9018
-7.5100	1.9010
-7.5050	1.9003
-7.5000	1.9008
-7.4950	1.9003
-7.4900	1.8995
-7.4850	1.8980
-7.4800	1.8985
-7.4750	1.8975
-7.4700	1.8955
-7.4650	1.8933
-7.4600	1.8905
-7.4550	1.8878
-7.4500	1.8850
-7.4450	1.8828
-7.4400	1.8825
-7.4350	1.8825
-7.4300	1.8823
-7.4250	1.8815
-7.4200	1.8810
